103241;1991;29637;0
103470;2046;29415;0
103590;2074;29299;0
103826;2131;29069;0
103943;2160;28956;0
104173;2215;28733;0
104287;2243;28623;0
104516;2298;28401;0
104632;2327;28288;0
104867;2384;28061;0
104986;2413;27946;0
105228;2472;27712;0
105349;2502;27595;0
105590;2561;27362;0
105710;2591;27245;0
105946;2649;27016;0
106063;2678;26904;0
106297;2735;26677;0
106416;2765;26562;0
106654;2824;26332;0
106774;2853;26216;0
107017;2914;25980;0
107139;2944;25863;0
107382;3005;25627;0
107505;3036;25508;0
107749;3097;25272;0
107872;3128;25153;0
108118;3189;24916;0
108241;3220;24797;0
108490;3283;24556;0
108614;3314;24436;0
108859;3376;24200;0
108981;3407;24081;0
109224;3469;23846;0
